rssi3,rssi18,rssi21,rssi36,position,time
,-77,,,bottomright,"2020-01-08 09:36:49.755640"
,,-81,,topright,"2020-01-08 09:36:49.755640"
,,-64,,bottomright,"2020-01-08 09:36:49.755640"
,,-79,,topright,"2020-01-08 09:36:49.755640"
,,-58,,bottomright,"2020-01-08 09:36:49.755640"
,,-80,,topright,"2020-01-08 09:36:49.755640"
,,-59,,bottomright,"2020-01-08 09:36:49.755640"
,,-80,,topright,"2020-01-08 09:36:49.755640"
,,-66,,bottomright,"2020-01-08 09:36:49.755640"
,,-83,,topright,"2020-01-08 09:36:49.755640"
,,-70,,bottomright,"2020-01-08 09:36:49.755640"
,,-80,,topright,"2020-01-08 09:36:49.755640"
,,,-80,topright,"2020-01-08 09:36:49.755640"
,,-63,,bottomright,"2020-01-08 09:36:49.755640"
,,,-81,bottomright,"2020-01-08 09:36:49.755640"
,,,-82,topright,"2020-01-08 09:36:49.755640"
,,,-77,bottomright,"2020-01-08 09:36:49.755640"
,,,-88,topright,"2020-01-08 09:36:49.755640"
,-87,,,topright,"2020-01-08 09:36:49.755640"
,,,-76,bottomright,"2020-01-08 09:36:49.755640"
,,,-82,topright,"2020-01-08 09:36:49.755640"
,-82,,,topright,"2020-01-08 09:36:49.755640"
,-83,,,bottomright,"2020-01-08 09:36:49.755640"
,,,-76,bottomright,"2020-01-08 09:36:49.755640"
,,,-84,topright,"2020-01-08 09:36:49.755640"
,,,-73,bottomright,"2020-01-08 09:36:49.755640"
,,,-83,topright,"2020-01-08 09:36:49.755640"
,-76,,,topright,"2020-01-08 09:36:49.755640"
,,,-78,bottomright,"2020-01-08 09:36:49.755640"
,,,-78,topright,"2020-01-08 09:36:49.755640"
,,,-72,bottomright,"2020-01-08 09:36:49.755640"
,,,-87,topright,"2020-01-08 09:36:49.755640"
,,-76,,topright,"2020-01-08 09:36:49.755640"
,,-69,,bottomright,"2020-01-08 09:36:49.755640"
,,-70,,bottomright,"2020-01-08 09:36:49.755640"
,,-67,,bottomright,"2020-01-08 09:36:49.755640"
,,-78,,topright,"2020-01-08 09:36:49.755640"
,,-80,,topright,"2020-01-08 09:36:49.755640"
,,,-84,topright,"2020-01-08 09:36:49.755640"
,,,-80,bottomright,"2020-01-08 09:36:49.755640"
,,,-82,topright,"2020-01-08 09:36:49.755640"
,,,-78,topright,"2020-01-08 09:36:49.755640"
,,,-83,bottomright,"2020-01-08 09:36:49.755640"
,,,-82,topright,"2020-01-08 09:36:49.755640"
,,,-74,bottomright,"2020-01-08 09:36:49.755640"
,,,-78,topright,"2020-01-08 09:36:49.755640"
,,,-74,bottomright,"2020-01-08 09:36:49.755640"
,,,-77,bottomright,"2020-01-08 09:36:49.755640"
,,-72,,topright,"2020-01-08 09:36:49.755640"
,,-69,,bottomright,"2020-01-08 09:36:49.755640"
,,-82,,topright,"2020-01-08 09:36:49.755640"
,,-72,,topright,"2020-01-08 09:36:49.755640"
,,,-80,topright,"2020-01-08 09:36:49.755640"
,,,-84,bottomright,"2020-01-08 09:36:49.755640"
,,,-87,topleft,"2020-01-08 09:36:49.755640"
,,,-76,topright,"2020-01-08 09:36:49.755640"
,,-74,,bottomright,"2020-01-08 09:36:49.755640"
,,-84,,topleft,"2020-01-08 09:36:49.755640"
,,,-72,bottomright,"2020-01-08 09:36:49.755640"
,,-84,,topright,"2020-01-08 09:36:49.755640"
,,,-77,topright,"2020-01-08 09:36:49.755640"
,,,-76,bottomright,"2020-01-08 09:36:49.755640"
,,-72,,bottomright,"2020-01-08 09:36:49.755640"
,,,-77,topright,"2020-01-08 09:36:49.755640"
,,,-79,bottomright,"2020-01-08 09:36:49.755640"
,,,-76,topright,"2020-01-08 09:36:49.755640"
,,,-71,bottomright,"2020-01-08 09:36:49.755640"
,,,-83,topleft,"2020-01-08 09:36:49.755640"
,,-82,,topleft,"2020-01-08 09:36:49.755640"
,,-77,,topright,"2020-01-08 09:36:49.755640"
,,,-86,topright,"2020-01-08 09:36:49.755640"
,,,-72,bottomright,"2020-01-08 09:36:49.755640"
,,,-83,topleft,"2020-01-08 09:36:49.755640"
,,,-80,topright,"2020-01-08 09:36:49.755640"
,,-84,,topleft,"2020-01-08 09:36:49.755640"
,-65,,,topleft,"2020-01-08 09:36:49.755640"
,-76,,,topright,"2020-01-08 09:36:49.755640"
,,-54,,bottomright,"2020-01-08 09:36:49.755640"
,,-79,,topleft,"2020-01-08 09:36:49.755640"
,,-66,,bottomright,"2020-01-08 09:36:49.755640"
,,-66,,bottomright,"2020-01-08 09:36:49.755640"
,,-72,,bottomright,"2020-01-08 09:36:49.755640"
,-86,,,bottomright,"2020-01-08 09:36:49.755640"
,-70,,,topleft,"2020-01-08 09:36:49.755640"
,-67,,,topleft,"2020-01-08 09:36:49.755640"
,-65,,,topleft,"2020-01-08 09:36:49.755640"
,,-60,,bottomright,"2020-01-08 09:36:49.755640"
,,-68,,bottomright,"2020-01-08 09:36:49.755640"
,,-81,,topright,"2020-01-08 09:36:49.755640"
,,-79,,topleft,"2020-01-08 09:36:49.755640"
,,-79,,bottomright,"2020-01-08 09:36:49.755640"
,,-75,,topright,"2020-01-08 09:36:49.755640"
,,-91,,topleft,"2020-01-08 09:36:49.755640"
,-80,,,bottomright,"2020-01-08 09:36:49.755640"
,-67,,,topleft,"2020-01-08 09:36:49.755640"
,,-82,,topleft,"2020-01-08 09:36:49.755640"
,,-69,,bottomright,"2020-01-08 09:36:56.967864"
,,-80,,topright,"2020-01-08 09:36:58.388927"
,,-81,,topleft,"2020-01-08 09:36:59.790750"
,,-84,,bottomright,"2020-01-08 09:37:16.907472"
,,-76,,topright,"2020-01-08 09:37:17.306809"
,,-66,,bottomright,"2020-01-08 09:38:16.895132"
,,-84,,topright,"2020-01-08 09:38:17.308056"
,,-85,,topleft,"2020-01-08 09:38:19.841749"
,,-72,,bottomright,"2020-01-08 09:38:26.915216"
,,-82,,topright,"2020-01-08 09:38:28.388500"
,,-85,,topleft,"2020-01-08 09:38:29.867246"
,-64,,,topleft,"2020-01-08 09:38:30.919014"
,,-76,,bottomright,"2020-01-08 09:38:36.894895"
,,-75,,topright,"2020-01-08 09:38:37.325885"
,,-70,,bottomright,"2020-01-08 09:38:56.947415"
,,-80,,topright,"2020-01-08 09:38:57.315815"
,,-83,,topleft,"2020-01-08 09:38:59.844086"